asset_id,name,code,card_id,status,identification,source_image
tts_154733,核热「核反应制御不能」,,spell-fdf-028,已有卡面／重复裁切,project_image_match,cards/tts_154733__spell-fdf-028.jpg
tts_154734,心花「Camera-Shy Rose」,,spell-fdf-033,已有卡面／重复裁切,project_image_match,cards/tts_154734__spell-fdf-033.jpg
tts_154735,脑符「Brain Fingerprint」,,spell-fdf-032,已有卡面／重复裁切,project_image_match,cards/tts_154735__spell-fdf-032.jpg
tts_154736,花符「Flower Land」,,spell-fdf-031,已有卡面／重复裁切,project_image_match,cards/tts_154736__spell-fdf-031.jpg
tts_154737,源符「厌川丿翡翠」,,spell-fdf-034,已有卡面／重复裁切,project_image_match,cards/tts_154737__spell-fdf-034.jpg
tts_154738,「冬」,,spell-fdf-042,已有卡面／重复裁切,project_image_match,cards/tts_154738__spell-fdf-042.jpg
tts_154739,红符「不夜城-RED-」,,spell-fdf-035,已有卡面／重复裁切,project_image_match,cards/tts_154739__spell-fdf-035.jpg
tts_154740,夜符「Queen of Midnight」,,spell-fdf-037,已有卡面／重复裁切,project_image_match,cards/tts_154740__spell-fdf-037.jpg
tts_154741,冥符「虹色ノ冥界」,,spell-fdf-038,已有卡面／重复裁切,project_image_match,cards/tts_154741__spell-fdf-038.jpg
tts_154742,萃符「户隐山ノ投」,,spell-fdf-043,已有卡面／重复裁切,project_image_match,cards/tts_154742__spell-fdf-043.jpg
tts_154743,「新绿ノ音·延伸ノ景」,,spell-fdf-039,已有卡面／重复裁切,project_image_match,cards/tts_154743__spell-fdf-039.jpg
tts_154744,「5:30 PM」,,spell-fdf-085,已有卡面／重复裁切,project_image_match,cards/tts_154744__spell-fdf-085.jpg
tts_154745,「逸脱者ノ光」,,spell-fdf-003,已有卡面／重复裁切,project_image_match,cards/tts_154745__spell-fdf-003.jpg
tts_154746,「圣ノ鼓动·法界ノ火」,,spell-fdf-044,已有卡面／重复裁切,project_image_match,cards/tts_154746__spell-fdf-044.jpg
tts_154747,魔法「紫云ノ兆」,,spell-fdf-053,已有卡面／重复裁切,project_image_match,cards/tts_154747__spell-fdf-053.jpg
tts_154748,「云中」,FDF-054,spell-fdf-054,已有卡面／重复裁切,project_image_match,cards/tts_154748__spell-fdf-054.jpg
tts_154749,「天空の魔法使」,,spell-fdf-120,已有卡面／重复裁切,project_image_match,cards/tts_154749__spell-fdf-120.jpg
tts_154750,妖剑「辉针剑」,,spell-fdf-059,已有卡面／重复裁切,project_image_match,cards/tts_154750__spell-fdf-059.jpg
tts_154751,亡乡「亡我乡-彷徨ノ灵魂」,,spell-fdf-047,已有卡面／重复裁切,project_image_match,cards/tts_154751__spell-fdf-047.jpg
tts_154752,樱符「Sense of Cherry Blossom」,,spell-fdf-048,已有卡面／重复裁切,project_image_match,cards/tts_154752__spell-fdf-048.jpg
tts_154753,人鬼「未来永劫斩-樱-」,,spell-fdf-049,已有卡面／重复裁切,project_image_match,cards/tts_154753__spell-fdf-049.jpg
tts_154754,断迷剑「迷津慈航斩」,,spell-fdf-050,已有卡面／重复裁切,project_image_match,cards/tts_154754__spell-fdf-050.jpg
tts_154755,禁弹「Catadioptric」,,spell-fdf-051,已有卡面／重复裁切,project_image_match,cards/tts_154755__spell-fdf-051.jpg
tts_154756,幻波「赤眼催眠」,,spell-fdf-052,已有卡面／重复裁切,project_image_match,cards/tts_154756__spell-fdf-052.jpg
tts_154757,死灵「死ノ妖精」,,spell-fdf-006,已有卡面／重复裁切,project_image_match,cards/tts_154757__spell-fdf-006.jpg
tts_154758,猫符「Cat’s Walk」,,spell-fdf-012,已有卡面／重复裁切,project_image_match,cards/tts_154758__spell-fdf-012.jpg
tts_154759,赎罪「旧地狱的针山」,,spell-fdf-121,已有卡面／重复裁切,project_image_match,cards/tts_154759__spell-fdf-121.jpg
tts_154760,狂符「幻视调率」,,spell-fdf-057,已有卡面／重复裁切,project_image_match,cards/tts_154760__spell-fdf-057.jpg
tts_154761,禁忌「Four of a Kind」,,spell-fdf-058,已有卡面／重复裁切,project_image_match,cards/tts_154761__spell-fdf-058.jpg
tts_154762,神符「天人ノ系谱」,,spell-fdf-015,已有卡面／重复裁切,project_image_match,cards/tts_154762__spell-fdf-015.jpg
tts_154763,「永夜归还-待宵-」,,spell-fdf-060,已有卡面／重复裁切,project_image_match,cards/tts_154763__spell-fdf-060.jpg
tts_154764,秘术「天文密葬法」,,spell-fdf-061,已有卡面／重复裁切,project_image_match,cards/tts_154764__spell-fdf-061.jpg
tts_154765,鬼群「Imp Swarm」,,spell-fdf-062,已有卡面／重复裁切,project_image_match,cards/tts_154765__spell-fdf-062.jpg
tts_154766,秘法「九字切」,,spell-fdf-063,已有卡面／重复裁切,project_image_match,cards/tts_154766__spell-fdf-063.jpg
tts_154767,「Mooned Insect」,,spell-fdf-064,已有卡面／重复裁切,project_image_match,cards/tts_154767__spell-fdf-064.jpg
tts_154768,月符「静寂ノ月神」,,spell-fdf-024,已有卡面／重复裁切,project_image_match,cards/tts_154768__spell-fdf-024.jpg
tts_154800,「畜生调服」,,spell-fdf-066,已有卡面／重复裁切,project_image_match,cards/tts_154800__spell-fdf-066.jpg
tts_154801,秘仪「弹幕ノ玉茧」,,spell-fdf-067,已有卡面／重复裁切,project_image_match,cards/tts_154801__spell-fdf-067.jpg
tts_154802,门符「最后ノ理想国」,,spell-fdf-068,已有卡面／重复裁切,project_image_match,cards/tts_154802__spell-fdf-068.jpg
tts_154803,光晕「唐伞惊吓闪光」,,spell-fdf-122,已有卡面／重复裁切,project_image_match,cards/tts_154803__spell-fdf-122.jpg
tts_154804,「游星弹幕“X”」,,spell-fdf-071,已有卡面／重复裁切,project_image_match,cards/tts_154804__spell-fdf-071.jpg
tts_154805,「平安京ノ恶梦」,,spell-fdf-072,已有卡面／重复裁切,project_image_match,cards/tts_154805__spell-fdf-072.jpg
tts_154806,执符「御射山御狩神事」,,spell-fdf-073,已有卡面／重复裁切,project_image_match,cards/tts_154806__spell-fdf-073.jpg
tts_154807,神祭「Expanded Onbashira」,,spell-fdf-074,已有卡面／重复裁切,project_image_match,cards/tts_154807__spell-fdf-074.jpg
tts_154808,「招雨ノ雨蛙」,,spell-fdf-080,已有卡面／重复裁切,project_image_match,cards/tts_154808__spell-fdf-080.jpg
tts_154809,金符「Metal Fatigue」,,spell-fdf-075,已有卡面／重复裁切,project_image_match,cards/tts_154809__spell-fdf-075.jpg
tts_154810,水符「Princess Undine」,,spell-fdf-077,已有卡面／重复裁切,project_image_match,cards/tts_154810__spell-fdf-077.jpg
tts_154811,土符「Lazy Trilithon」,,spell-fdf-076,已有卡面／重复裁切,project_image_match,cards/tts_154811__spell-fdf-076.jpg
tts_154812,火符「Agni Shine」,,spell-fdf-078,已有卡面／重复裁切,project_image_match,cards/tts_154812__spell-fdf-078.jpg
tts_154813,木符「Sylphy Horn」,,spell-fdf-079,已有卡面／重复裁切,project_image_match,cards/tts_154813__spell-fdf-079.jpg
tts_154814,「最凶&最恶」,,spell-fdf-081,已有卡面／重复裁切,project_image_match,cards/tts_154814__spell-fdf-081.jpg
tts_154815,结界「光与暗ノ网目」,,spell-fdf-082,已有卡面／重复裁切,project_image_match,cards/tts_154815__spell-fdf-082.jpg
tts_154816,怒面「愤怒ノ忌狼面」,,spell-fdf-083,已有卡面／重复裁切,project_image_match,cards/tts_154816__spell-fdf-083.jpg
tts_154817,「守护ノ要石」,,spell-fdf-084,已有卡面／重复裁切,project_image_match,cards/tts_154817__spell-fdf-084.jpg
